learner,tuner,rep,pehe,pehe_plug,dimension,final_tuning_mse
x_rf,random,5,0.1165382285356931,0.2842829385979278,1d,1.2145392519481308
x_rf,random,6,0.1718924641927267,0.3655398435598065,1d,1.1683348825679214
x_rf,random,7,0.1083597009105018,0.2367655010724937,1d,1.2396710015849457
x_rf,random,8,0.1735367163492621,0.4736345640129087,1d,1.2395131708285625
x_rf,random,9,0.1682925344460148,0.3234296958668593,1d,1.218600485653729
x_rf,random,10,0.1486761505483264,0.3725151776916079,1d,1.1823357896609377
x_rf,random,11,0.0872140838019462,0.204029252257835,1d,1.1832861257119152
x_rf,random,12,0.1432801962056982,0.3499834656801411,1d,1.3025466705045112
x_rf,random,13,0.1416970248682955,0.2577280641983677,1d,1.1753473509228545
x_rf,random,14,0.0999692988405472,0.4432700056192886,1d,1.1930626936004078
x_rf,random,15,0.1064949911253184,0.2249298213672264,1d,1.2581138044459887
x_rf,random,16,0.1674176170012982,0.2160369642828624,1d,1.2787174616148145
x_rf,random,17,0.1451868745757626,0.2349034695061976,1d,1.2127156899336429
x_rf,random,18,0.0868923697673485,0.2772522211409595,1d,1.244511761367059
x_rf,random,19,0.1193158044297079,0.260541373779608,1d,1.2796364890197798
x_rf,random,20,0.0964629040661583,0.1401221128652683,1d,1.2772312909092003
x_rf,random,21,0.1403797534372003,0.4417009934395629,1d,1.2661382499130431
x_rf,random,22,0.1622475318775615,0.3024205734915739,1d,1.237373536389419
x_rf,random,23,0.1213367056335379,0.363058478439312,1d,1.2130959328254354
x_rf,random,24,0.1187063799129124,0.2072464331476251,1d,1.2840588887898
x_rf,random,25,0.2256250732519825,0.3435977304729034,1d,1.1758009648775014
x_rf,random,26,0.1547015953620785,0.1720224345509057,1d,1.2476921915315613
x_rf,random,27,0.2199795838538787,0.2008637991665556,1d,1.24930321989508
x_rf,random,28,0.2177779204584765,0.2331336367168906,1d,1.1710531753436084
x_rf,random,29,0.1742439172850445,0.375344209268052,1d,1.2231405958086825
x_rf,bayes,0,0.154997150910195,0.1821085949581167,2d,1.1614838223479913
x_rf,bayes,1,0.2869960771703062,0.358573027641512,2d,1.1401436546930592
x_rf,bayes,2,0.0807532713033019,0.1704143093023845,2d,1.243946429386143
x_rf,bayes,3,0.2802424730188083,0.3267682341321571,2d,1.1836861575257651
x_rf,bayes,4,0.0961382498000605,0.2076519622067759,2d,1.2122879642686826
x_rf,bayes,5,0.1108809546452723,0.2384259527001444,2d,1.2078383179556422
x_rf,bayes,6,0.1642012428309144,0.2855707186908162,2d,1.159578246968597
x_rf,bayes,7,0.1050349776776583,0.1956338864115138,2d,1.2278895210569991
x_rf,bayes,8,0.1735367163492621,0.4736345640129087,2d,1.2395131708285625
x_rf,bayes,9,0.1682925344460148,0.3234296958668593,2d,1.218600485653729
x_rf,bayes,10,0.1451946578860936,0.366501445761171,2d,1.1645636311397152
x_rf,bayes,11,0.0872140838019462,0.204029252257835,2d,1.1832861257119152
x_rf,bayes,12,0.1443655956086166,0.2348497425578053,2d,1.297741188596208
x_rf,bayes,13,0.1310786855499093,0.2283019881395287,2d,1.171305526511199
x_rf,bayes,14,0.0819741284344378,0.3781968155199677,2d,1.1868356037419256
x_rf,bayes,15,0.0999865492532027,0.2072544448111862,2d,1.2571078309117305
x_rf,bayes,16,0.1674176170012982,0.2160369642828624,2d,1.2787174616148145
x_rf,bayes,17,0.1451868745757626,0.2349034695061976,2d,1.2127156899336429
x_rf,bayes,18,0.0789653352838608,0.209126555437563,2d,1.2366277627023723
